time,mag,place
2023-03-08T16:03:10.540Z,1.86,"15km E of Ocotillo Wells, CA"
2023-03-08T15:55:23.390Z,0.84,"6km WSW of Anza, CA"
2023-03-08T15:50:06.833Z,1.3,"57 km W of Kalifornsky, Alaska"
2023-03-08T15:49:29.810Z,0.68,"10km E of Mammoth Lakes, CA"
2023-03-08T15:49:24.080Z,0.79,"8km SSW of Borrego Springs, CA"
2023-03-08T15:45:03.660Z,0.72,"10km E of Mammoth Lakes, CA"
2023-03-08T15:44:46.760Z,0.3,"2km NNW of The Geysers, CA"
2023-03-08T15:40:04.187Z,1.4,"43 km NNW of Moapa Town, Nevada"
2023-03-08T15:28:50.171Z,4.9,Prince Edward Islands region
2023-03-08T15:15:23.902Z,1.1,"39 km SSE of Goldfield, Nevada"
2023-03-08T15:05:20.840Z,0.91,"4km WNW of The Geysers, CA"
2023-03-08T15:01:30.850Z,1.7,"36 km SSE of Goldfield, Nevada"
2023-03-08T14:58:46.250Z,1.44,"5km W of Ukiah, CA"
2023-03-08T14:39:50.620Z,1.13,"24km SW of Ocotillo Wells, CA"
2023-03-08T14:08:32.730Z,1.64,"103 km W of Adak, Alaska"
2023-03-08T14:01:00.506Z,1.6,"37 km SW of Trapper Creek, Alaska"
2023-03-08T13:56:16.578Z,1.8,"44 km W of Salamatof, Alaska"
2023-03-08T13:56:02.891Z,2.9,"103 km W of Adak, Alaska"
2023-03-08T13:43:23.060Z,5.4,"207 km NNE of Fais, Micronesia"
2023-03-08T13:33:59.220Z,1.73,"7km W of Holtville, CA"
2023-03-08T13:17:35.840Z,1.16,"4km ENE of San Jacinto, CA"
2023-03-08T13:03:38.000Z,1.01,"7km NW of The Geysers, CA"
2023-03-08T12:54:37.480Z,0.9,"10km SSW of Joshua Tree, CA"
2023-03-08T12:54:08.380Z,0.27,"7km NW of The Geysers, CA"
2023-03-08T12:51:13.785Z,1.6,"25 km S of Tatitlek, Alaska"
2023-03-08T12:38:36.500Z,1.2,"39 km WSW of Clear, Alaska, Alaska"
2023-03-08T12:35:36.200Z,4.6,"53 km NNE of Yigo Village, Guam"
2023-03-08T12:24:33.810Z,2.78,"9 km ESE of Soda Springs, Idaho"
2023-03-08T12:13:20.350Z,1.18,"10km SSW of Joshua Tree, CA"
2023-03-08T11:59:32.940Z,1.35,"4km E of Portola Valley, CA"
2023-03-08T11:59:28.130Z,2.82,"6km ESE of Lake Pillsbury, CA"
